"uuid";"Родитель_Key";"ЭтоГруппа";"Наименование";"Уровень";"Уровень_1";"Уровень_2";"Уровень_3";"Уровень_4";"Уровень_5";"Уровень_6"
a86bf69e-c490-11ec-aa0f-505dac4282cc;"00000000-0000-0000-0000-000000000000";true;AGT;1;AGT;AGT;AGT;AGT;AGT;AGT
ea3a9f03-c491-11ec-aa0f-505dac4282cc;f51f7c34-c491-11ec-aa0f-505dac4282cc;false;LB-2050;3;AGT;Настенные Профиля;LB-2050;LB-2050;LB-2050;LB-2050
"12cb017b-4bc9-11ee-8c21-88fe3e5d9ab2";f51f7c34-c491-11ec-aa0f-505dac4282cc;false;LB-2200;3;AGT;Настенные Профиля;LB-2200;LB-2200;LB-2200;LB-2200
bd77f5ce-c518-11ec-aa0f-505dac4282cc;f51f7c34-c491-11ec-aa0f-505dac4282cc;false;LB-2200-Y;3;AGT;Настенные Профиля;LB-2200-Y;LB-2200-Y;LB-2200-Y;LB-2200-Y
c229641e-fd04-11ec-aa19-505dac4282cc;f51f7c34-c491-11ec-aa0f-505dac4282cc;false;LB-2250;3;AGT;Настенные Профиля;LB-2250;LB-2250;LB-2250;LB-2250
cb8582e5-c518-11ec-aa0f-505dac4282cc;f51f7c34-c491-11ec-aa0f-505dac4282cc;false;LB-3771;3;AGT;Настенные Профиля;LB-3771;LB-3771;LB-3771;LB-3771
b84cda97-fd05-11ec-aa19-505dac4282cc;f51f7c34-c491-11ec-aa0f-505dac4282cc;false;LB-3783;3;AGT;Настенные Профиля;LB-3783;LB-3783;LB-3783;LB-3783
"78284a6f-ebcf-11ed-aa30-505dac4282cc";f51f7c34-c491-11ec-aa0f-505dac4282cc;false;LB-3786;3;AGT;Настенные Профиля;LB-3786;LB-3786;LB-3786;LB-3786
"4f3ff731-fd06-11ec-aa19-505dac4282cc";f51f7c34-c491-11ec-aa0f-505dac4282cc;false;LB-3821;3;AGT;Настенные Профиля;LB-3821;LB-3821;LB-3821;LB-3821
"432d9a8d-8ea7-11ee-8c25-c480eee4e001";f51f7c34-c491-11ec-aa0f-505dac4282cc;false;LB-5014 Акустический ;3;AGT;Настенные Профиля;LB-5014 Акустический ;LB-5014 Акустический ;LB-5014 Акустический ;LB-5014 Акустический 
f51f7c34-c491-11ec-aa0f-505dac4282cc;a86bf69e-c490-11ec-aa0f-505dac4282cc;true;Настенные Профиля;2;AGT;Настенные Профиля;Настенные Профиля;Настенные Профиля;Настенные Профиля;Настенные Профиля
"2a0a9b7d-fd05-11ec-aa19-505dac4282cc";f51f7c34-c491-11ec-aa0f-505dac4282cc;false;Углы для профилей A;3;AGT;Настенные Профиля;Углы для профилей A;Углы для профилей A;Углы для профилей A;Углы для профилей A
"6b09bb3a-fd05-11ec-aa19-505dac4282cc";f51f7c34-c491-11ec-aa0f-505dac4282cc;false;Углы для профилей B;3;AGT;Настенные Профиля;Углы для профилей B;Углы для профилей B;Углы для профилей B;Углы для профилей B
a1ad7c7f-b57a-11f0-8c5e-a6abec9b25d5;"00000000-0000-0000-0000-000000000000";true;Dafna Projekt;1;Dafna Projekt;Dafna Projekt;Dafna Projekt;Dafna Projekt;Dafna Projekt;Dafna Projekt
aaa6b446-b57a-11f0-8c5e-a6abec9b25d5;"00000000-0000-0000-0000-000000000000";true;EM Projekt;1;EM Projekt;EM Projekt;EM Projekt;EM Projekt;EM Projekt;EM Projekt
c9d281d7-d195-11f0-8c61-928b0394eb9e;aaa6b446-b57a-11f0-8c5e-a6abec9b25d5;false;MAFF PROJECT;2;EM Projekt;MAFF PROJECT;MAFF PROJECT;MAFF PROJECT;MAFF PROJECT;MAFF PROJECT
"595d0eaa-421b-11f1-8c6e-876486533714";aaa6b446-b57a-11f0-8c5e-a6abec9b25d5;false;Услуги;2;EM Projekt;Услуги;Услуги;Услуги;Услуги;Услуги
"71bb3270-ea87-11ee-8c2b-d498ad7c6c82";"00000000-0000-0000-0000-000000000000";true;Knauf;1;Knauf;Knauf;Knauf;Knauf;Knauf;Knauf
"34bef269-ea88-11ee-8c2b-d498ad7c6c82";"71bb3270-ea87-11ee-8c2b-d498ad7c6c82";false;Акустические панели;2;Knauf;Акустические панели;Акустические панели;Акустические панели;Акустические панели;Акустические панели
f0314e48-ea87-11ee-8c2b-d498ad7c6c82;"71bb3270-ea87-11ee-8c2b-d498ad7c6c82";false;Комплектующие;2;Knauf;Комплектующие;Комплектующие;Комплектующие;Комплектующие;Комплектующие
"40d0a895-fc8e-11ee-8c2c-d0ba8768f0dd";"00000000-0000-0000-0000-000000000000";true;Krono Floor SPC (Китай);1;Krono Floor SPC (Китай);Krono Floor SPC (Китай);Krono Floor SPC (Китай);Krono Floor SPC (Китай);Krono Floor SPC (Китай);Krono Floor SPC (Китай)
"7ff6e6bb-e7af-11ef-8c33-ac5a3889fd1c";"40d0a895-fc8e-11ee-8c2c-d0ba8768f0dd";false;SPC Китай ;2;Krono Floor SPC (Китай);SPC Китай ;SPC Китай ;SPC Китай ;SPC Китай ;SPC Китай 
"5ff9b26e-fc8e-11ee-8c2c-d0ba8768f0dd";"40d0a895-fc8e-11ee-8c2c-d0ba8768f0dd";false;SPC Китай (Елка);2;Krono Floor SPC (Китай);SPC Китай (Елка);SPC Китай (Елка);SPC Китай (Елка);SPC Китай (Елка);SPC Китай (Елка)
b7c36e2d-0c90-11f1-8c67-da8e39b70df6;e2fad13c-f2d3-11f0-8c63-969e646f88b4;false;SAG Gravity битум плитка;2;SAG битум плитка;SAG Gravity битум плитка;SAG Gravity битум плитка;SAG Gravity битум плитка;SAG Gravity битум плитка;SAG Gravity битум плитка
"85348866-1f60-11f1-8c6b-f9a26d9301b2";e2fad13c-f2d3-11f0-8c63-969e646f88b4;false;SAG Lines битум Плитка;2;SAG битум плитка;SAG Lines битум Плитка;SAG Lines битум Плитка;SAG Lines битум Плитка;SAG Lines битум Плитка;SAG Lines битум Плитка
e2fad13c-f2d3-11f0-8c63-969e646f88b4;"00000000-0000-0000-0000-000000000000";true;SAG битум плитка;1;SAG битум плитка;SAG битум плитка;SAG битум плитка;SAG битум плитка;SAG битум плитка;SAG битум плитка
"00311a8c-f38e-11f0-8c63-969e646f88b4";e2fad13c-f2d3-11f0-8c63-969e646f88b4;false;SAG битум плитка образцы;2;SAG битум плитка;SAG битум плитка образцы;SAG битум плитка образцы;SAG битум плитка образцы;SAG битум плитка образцы;SAG битум плитка образцы
"6fdf56e0-3180-11f1-8c6d-eac0bdb30edb";"00000000-0000-0000-0000-000000000000";true;SIGMA DECOR;1;SIGMA DECOR;SIGMA DECOR;SIGMA DECOR;SIGMA DECOR;SIGMA DECOR;SIGMA DECOR
"8fbcce3e-3180-11f1-8c6d-eac0bdb30edb";"6fdf56e0-3180-11f1-8c6d-eac0bdb30edb";false;Плиты;2;SIGMA DECOR;Плиты;Плиты;Плиты;Плиты;Плиты
"00a22192-8983-11f0-8c56-c2dfe5d26ffe";"77d6a721-8982-11f0-8c56-c2dfe5d26ffe";false;Vetonit Наливной пол;2;Vetonit Наливной пол + грунтовка;Vetonit Наливной пол;Vetonit Наливной пол;Vetonit Наливной пол;Vetonit Наливной пол;Vetonit Наливной пол
"77d6a721-8982-11f0-8c56-c2dfe5d26ffe";"00000000-0000-0000-0000-000000000000";true;Vetonit Наливной пол + грунтовка;1;Vetonit Наливной пол + грунтовка;Vetonit Наливной пол + грунтовка;Vetonit Наливной пол + грунтовка;Vetonit Наливной пол + грунтовка;Vetonit Наливной пол + грунтовка;Vetonit Наливной пол + грунтовка
"47e95aff-8983-11f0-8c56-c2dfe5d26ffe";"77d6a721-8982-11f0-8c56-c2dfe5d26ffe";false;Vetonit грунтовка;2;Vetonit Наливной пол + грунтовка;Vetonit грунтовка;Vetonit грунтовка;Vetonit грунтовка;Vetonit грунтовка;Vetonit грунтовка
"8cd1e37c-8e2b-11f0-8c57-d856a17cbfbb";"00000000-0000-0000-0000-000000000000";true;WPC панели (бамбуковые);1;WPC панели (бамбуковые);WPC панели (бамбуковые);WPC панели (бамбуковые);WPC панели (бамбуковые);WPC панели (бамбуковые);WPC панели (бамбуковые)
d5642693-8e2b-11f0-8c57-d856a17cbfbb;"8cd1e37c-8e2b-11f0-8c57-d856a17cbfbb";false;WPC панели (бамбуковые);2;WPC панели (бамбуковые);WPC панели (бамбуковые);WPC панели (бамбуковые);WPC панели (бамбуковые);WPC панели (бамбуковые);WPC панели (бамбуковые)
"76077834-c6bf-11f0-8c60-ed99052a37f1";"8cd1e37c-8e2b-11f0-8c57-d856a17cbfbb";false;Наконеч и соед для WPC панелей;2;WPC панели (бамбуковые);Наконеч и соед для WPC панелей;Наконеч и соед для WPC панелей;Наконеч и соед для WPC панелей;Наконеч и соед для WPC панелей;Наконеч и соед для WPC панелей
